Cultivar,ConcatE,MultiH,Single,Ferguson
Barbera,1.8387295303269695,1.4812816273008877,3.8367954280626644,1.781959456082431
Cabernet Franc,2.1850166199203724,2.8169026726533892,3.8492508721788994,1.453050249427586
Cabernet Sauvignon,1.8962059542467182,2.4772883183449905,3.382130433557359,1.8300815233702663
Chardonnay,1.3573665106638704,1.3270714980276066,1.90372849158517,1.7921598660387534
Chenin Blanc,1.4410980628620196,1.5994585239937,2.4762639102665456,2.2699306184108377
Concord,2.282501167116042,2.1743209278115914,2.6611753154235607,2.0280673392360296
Gewurztraminer,1.516378246282951,1.240593914254953,2.664608852663038,1.844457712609764
Grenache,1.8607867347241918,1.5899004320500911,2.700813966747088,1.9266250106815954
Lemberger,1.2056013284193714,1.4656804045018335,2.855486099169886,2.21783356078053
Malbec,1.2747225373064173,1.0957768348941082,1.722876007055211,1.6627202465828095
Merlot,1.4633280276576262,1.5024495515344416,1.6141464754953263,1.5554407495467946
Mourvedre,1.612824970468031,1.5268254502519785,2.185362850456024,1.830592010239507
Nebbiolo,1.3998641373813292,1.1741072169733597,2.3655794663580525,1.8005618629774929
Pinot Gris,1.7079612888946993,1.5947811850931444,2.021753525196311,2.0291304676910107
Riesling,1.4728887669637885,1.9461507487322844,3.023744101448411,1.5568446573627481
Sangiovese,1.5372240102948067,1.501985180859992,1.962504321918117,1.6189103533579752
Sauvignon Blanc,1.3544164172826683,1.2911873499138555,1.7526599767021473,1.4285135811710996
Semillon,1.5609587297600367,1.5464408507200027,3.6731913882574134,1.50505156301334
Syrah,1.5012149047567054,1.1646641324335045,1.5323810720068725,1.2549375478611533
Viognier,1.7839412447687402,2.1785614809602944,4.131177994976002,1.3602759205327348
Zinfandel,1.7456110648971073,1.4990744253894732,2.654282752018095,1.9001881246006607
